# 地区配置
# 格式：区号|省号|地区名称
10|01|北京
22|02|天津
310|03|邯郸
311|03|石家庄
312|03|保定
313|03|张家口
314|03|承德
315|03|唐山
316|03|廊坊
317|03|沧州
318|03|衡水
319|03|邢台
335|03|秦皇岛
349|04|朔州
350|04|忻州
351|04|太原
352|04|大同
353|04|阳泉
354|04|晋中
355|04|长治
356|04|晋城
357|04|临汾
358|04|吕梁
359|04|运城
470|05|海拉尔
471|05|呼和浩特
472|05|包头
473|05|乌海
474|05|集宁
475|05|通辽
476|05|赤峰
477|05|鄂尔多斯
478|05|临河
479|05|锡林浩特
482|05|乌兰浩特
483|05|阿盟
24|06|沈阳
411|06|大连
412|06|鞍山
414|06|本溪
415|06|丹东
416|06|锦州
417|06|营口
418|06|阜新
419|06|辽阳
421|06|朝阳
427|06|盘锦
429|06|葫芦岛
431|07|长春
432|07|吉林
433|07|延吉
434|07|四平
435|07|通化
436|07|白城
437|07|辽源
438|07|松原
439|07|白山
451|08|哈尔滨
452|08|齐齐哈尔
453|08|七台河
454|08|双鸭山
456|08|大兴安岭
458|08|伊春
459|08|大庆
21|09|上海
25|10|南京
510|10|无锡
511|10|镇江
512|10|苏州
513|10|南通
514|10|扬州
515|10|盐城
516|10|徐州
517|10|淮安
518|10|连云港
519|10|常州
523|10|泰州
527|10|宿迁
570|11|衢州
571|11|杭州
572|11|湖州
573|11|嘉兴
574|11|宁波
575|11|绍兴
576|11|台州
577|11|温州
578|11|丽水
579|11|金华
580|11|舟山
550|12|滁州
551|12|合肥
552|12|蚌埠
553|12|芜湖
554|12|淮南a
555|12|马鞍山
556|12|安庆
557|12|宿州
558|12|阜阳
559|12|黄山
561|12|淮北
562|12|铜陵
563|12|宣城
564|12|六安
566|12|池州
567|12|亳州
591|13|福州
592|13|厦门
593|13|宁德
594|13|莆田
595|13|泉州
596|13|漳州
597|13|龙岩
598|13|三明
599|13|南平
701|14|鹰潭
790|14|新余
791|14|南昌
792|14|九江
793|14|上饶
794|14|抚州
795|14|宜春
796|14|吉安
797|14|赣州
798|14|景德镇
799|14|萍乡
530|15|菏泽
531|15|济南
532|15|青岛
533|15|淄博
534|15|德州
535|15|烟台
536|15|潍坊
537|15|济宁
538|15|泰安
539|15|临沂
543|15|滨州
546|15|东营
631|15|威海
632|15|枣庄
633|15|日照
634|15|莱芜
635|15|聊城
370|16|商丘
371|16|郑州
372|16|安阳
373|16|新乡
374|16|许昌
375|16|平顶山
376|16|信阳
377|16|南阳
378|16|开封
379|16|洛阳
391|16|焦作
392|16|鹤壁
393|16|濮阳
394|16|周口
395|16|漯河
396|16|驻马店
398|16|三门峡
27|17|武汉
710|17|襄樊
711|17|鄂州
712|17|孝感
713|17|黄冈
714|17|黄石
715|17|咸宁
716|17|荆州
717|17|宜昌
718|17|恩施
719|17|十堰
722|17|随州
724|17|荆门
728|17|江汉
730|18|岳阳 
731|18|长沙
732|18|湘潭
733|18|株洲
734|18|衡阳
735|18|郴州
736|18|常德
737|18|益阳
738|18|娄底
739|18|邵阳
743|18|吉首
744|18|张家界
745|18|怀化
746|18|永州 
20|19|广州
660|19|汕尾
662|19|阳江
663|19|揭阳
668|19|茂名
750|19|江门
751|19|韶关
752|19|惠州
753|19|梅州
754|19|汕头
755|19|深圳
756|19|珠海
757|19|佛山
758|19|肇庆
759|19|湛江
760|19|中山
762|19|河源
763|19|清远
766|19|云浮
768|19|潮州
769|19|东莞
898|20|海口
770|21|防城港
771|21|南宁
772|21|柳州
773|21|桂林
774|21|梧州
775|21|玉林
776|21|百色
777|21|钦州
778|21|河池
779|21|北海
23|22|重庆
28|23|成都
812|23|攀枝花
813|23|自贡
816|23|绵阳
817|23|南充
818|23|达州
825|23|遂宁
826|23|广安
827|23|巴中
830|23|泸州
831|23|宜宾
832|23|内江
833|23|乐山
834|23|凉山
835|23|雅安
836|23|甘孜
837|23|阿坝
838|23|德阳
839|23|广元
851|24|贵阳
852|24|遵义
853|24|安顺
854|24|都匀
855|24|凯里
856|24|铜仁
857|24|毕节
858|24|六盘水
859|24|兴义
691|25|版纳
692|25|德宏
870|25|昭通
871|25|昆明
872|25|大理
873|25|红河
874|25|曲靖
875|25|保山
876|25|文山
877|25|玉溪
878|25|楚雄
879|25|思茅
883|25|临沧
886|25|怒江
887|25|迪庆
888|25|丽江
29|26|西安
911|26|延安
912|26|榆林
913|26|渭南
914|26|商洛
915|26|安康
916|26|汉中
917|26|宝鸡
919|26|铜川
930|27|临夏
931|27|兰州
932|27|定西
933|27|平凉
934|27|庆阳
935|27|武威
936|27|张掖
937|27|酒泉
938|27|天水
939|27|陇南
941|27|甘南
943|27|白银
945|27|金昌
947|27|嘉峪关
970|28|海晏
971|28|西宁
972|28|海东
973|28|黄南
974|28|共和
975|28|果洛
976|28|玉树
977|28|德令哈
979|28|格尔木
951|29|银川
952|29|石嘴山
953|29|吴忠
954|29|固原
955|29|中卫
901|30|塔城
902|30|哈密
903|30|和田
906|30|阿勒泰
908|30|克州
909|30|博乐
990|30|克拉玛依
991|30|乌鲁木齐
992|30|奎屯
993|30|石河子
994|30|昌吉
995|30|吐鲁番
996|30|库尔勒
997|30|阿克苏
998|30|喀什
999|30|伊犁
891|31|拉萨
892|31|日喀则
893|31|山南
894|31|林芝
895|31|昌都
896|31|那曲
897|31|阿里
